Week_Ending_Date,BTC_Close_USD
2014-11-30,373.34
2014-12-07,376.87
2014-12-14,350.17
2014-12-21,323.15
2014-12-28,316.63
2015-01-04,264.62
2015-01-11,276.80
2015-01-18,211.42
2015-01-25,253.09
2015-02-01,214.80
2015-02-08,224.19
2015-02-15,234.01
2015-02-22,236.68
2015-03-01,255.81
2015-03-08,274.89
2015-03-15,286.40
2015-03-22,269.39
2015-03-29,242.19
2015-04-05,260.50
2015-04-12,236.30
2015-04-19,222.89
2015-04-26,219.49
2015-05-03,239.18
2015-05-10,239.08
2015-05-17,236.05
2015-05-24,239.68
2015-05-31,229.08
2015-06-07,222.86
2015-06-14,231.77
2015-06-21,243.37
2015-06-28,248.90
2015-07-05,270.33
2015-07-12,310.24
2015-07-19,275.50
2015-07-26,292.84
2015-08-02,281.50
2015-08-09,265.36
2015-08-16,256.09
2015-08-23,228.47
2015-08-30,228.43
2015-09-06,240.45
2015-09-13,230.17
2015-09-20,230.29
2015-09-27,231.91
2015-10-04,238.40
2015-10-11,247.83
2015-10-18,261.00
2015-10-25,288.27
2015-11-01,328.98
2015-11-08,371.87
2015-11-15,317.00
2015-11-22,323.11
2015-11-29,371.04
2015-12-06,394.60
2015-12-13,435.80
2015-12-20,441.48
2015-12-27,423.29
2016-01-03,430.85
2016-01-10,447.21
2016-01-17,382.85
2016-01-24,402.50
2016-01-31,370.00
2016-02-07,375.40
2016-02-14,403.95
2016-02-21,437.70
2016-02-28,432.16
2016-03-06,404.78
2016-03-13,412.64
2016-03-20,411.34
2016-03-27,424.30
2016-04-03,419.00
2016-04-10,420.77
2016-04-17,426.75
2016-04-24,459.40
2016-05-01,451.40
2016-05-08,457.81
2016-05-15,457.48
2016-05-22,437.85
2016-05-29,513.85
2016-06-05,573.76
2016-06-12,667.94
2016-06-19,760.55
2016-06-26,628.61
2016-07-03,664.14
2016-07-10,646.55
2016-07-17,678.23
2016-07-24,659.51
2016-07-31,620.01
2016-08-07,592.60
2016-08-14,567.45
2016-08-21,578.47
2016-08-28,573.00
2016-09-04,604.25
2016-09-11,603.80
2016-09-18,608.00
2016-09-25,597.41
2016-10-02,608.59
2016-10-09,613.61
2016-10-16,638.09
2016-10-23,649.69
2016-10-30,696.36
2016-11-06,710.22
2016-11-13,701.51
2016-11-20,727.09
2016-11-27,726.12
2016-12-04,761.99
2016-12-11,768.19
2016-12-18,788.68
2016-12-25,891.67
2017-01-01,998.80
2017-01-08,906.17
2017-01-15,822.47
2017-01-22,919.39
2017-01-29,913.10
2017-02-05,1014.57
2017-02-12,1001.63
2017-02-19,1051.80
2017-02-26,1179.05
2017-03-05,1273.00
2017-03-12,1226.62
2017-03-19,1017.97
2017-03-26,960.00
2017-04-02,1078.01
2017-04-09,1206.20
2017-04-16,1162.31
2017-04-23,1241.99
2017-04-30,1350.21
2017-05-07,1554.01
2017-05-14,1784.00
2017-05-21,2017.55
2017-05-28,2178.81
2017-06-04,2530.27
2017-06-11,2954.22
2017-06-18,2516.98
2017-06-25,2502.03
2017-07-02,2504.37
2017-07-09,2502.28
2017-07-16,1917.63
2017-07-23,2749.02
2017-07-30,2742.37
2017-08-06,3222.75
2017-08-13,4053.87
2017-08-20,4058.68
2017-08-27,4337.68
2017-09-03,4606.26
2017-09-10,4226.22
2017-09-17,3662.99
2017-09-24,3664.22
2017-10-01,4377.22
2017-10-08,4597.98
2017-10-15,5679.70
2017-10-22,5969.00
2017-10-29,6137.37
2017-11-05,7372.72
2017-11-12,5870.37
2017-11-19,8016.58
2017-11-26,9271.06
2017-12-03,11250.00
2017-12-10,14691.00
2017-12-17,18953.00
2017-12-24,14157.87
2017-12-31,13880.00
2018-01-07,16124.02
2018-01-14,13647.99
2018-01-21,11558.87
2018-01-28,11685.58
2018-02-04,8191.00
2018-02-11,8067.00
2018-02-18,10421.06
2018-02-25,9590.04
